chunker,qid,category,latency_s,recall@5_khoan,recall@10_khoan,recall@20_khoan,mrr_khoan,ndcg@10_khoan,recall@5_doc,recall@10_doc,recall@20_doc,mrr_doc,ndcg@10_doc
hierarchical,RQ-001,simple_penalty,1.0255934790038737,0.0,0.0,0.0,0.020833333333333332,0.0,1.0,1.0,1.0,0.5,2.9390296349847294
hierarchical,RQ-002,simple_penalty,0.20996542400098406,0.0,1.0,1.0,0.1,0.2890648263178879,1.0,1.0,1.0,1.0,4.543559338088346
hierarchical,RQ-003,simple_penalty,0.1955823419993976,0.0,0.0,0.0,0.024390243902439025,0.0,1.0,1.0,1.0,1.0,3.9390296349847294
hierarchical,RQ-004,simple_penalty,0.192271351988893,0.0,0.0,0.0,0.010416666666666666,0.0,1.0,1.0,1.0,1.0,4.210226004755013
hierarchical,RQ-005,simple_penalty,0.22086696300539188,0.5,0.5,1.0,1.0,0.8503449055347546,1.0,1.0,1.0,1.0,2.755392401744885
hierarchical,RQ-006,multi_intent,0.22103304699703585,0.0,0.0,0.0,0.010309278350515464,0.0,1.0,1.0,1.0,1.0,3.5083530769113365
hierarchical,RQ-007,multi_intent,0.18997558200499043,0.5,0.5,0.5,1.0,0.8503449055347546,1.0,1.0,1.0,1.0,3.1235647581990005
hierarchical,RQ-008,multi_intent,0.2579991269885795,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.166136014748467
hierarchical,RQ-009,multi_intent,0.22807491700223181,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.079296251183555
hierarchical,RQ-010,multi_intent,0.2443073399917921,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.25,0.8175293653079347
hierarchical,RQ-011,cross_reference,0.2184782330004964,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.156706530853804
hierarchical,RQ-012,cross_reference,0.23828048100403976,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.9211611784371248
hierarchical,RQ-013,cross_reference,0.256292823003605,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.254494511770458
hierarchical,RQ-014,cross_reference,0.20312002100399695,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,2.867641704535916
hierarchical,RQ-015,cross_reference,0.21867581599508412,0.0,1.0,1.0,0.1,0.2890648263178879,1.0,1.0,1.0,1.0,4.543559338088346
hierarchical,RQ-016,procedure,0.15858211000158917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
