run_name,run_type,count,mean_s,p50_s,p95_s,error_rate,total_tokens_mean,cost_usd_mean,source
ChatGoogleGenerativeAI,llm,1518,0.391,0.002,1.977,0.935,1240.0,0.000326,langsmith
faithfulness,chain,35,122.24,119.045,168.856,1.0,0.0,0.0,langsmith
answer_relevancy,chain,34,124.081,123.726,176.239,1.0,0.0,0.0,langsmith
context_recall,chain,34,127.685,133.344,171.145,1.0,0.0,0.0,langsmith
context_precision,chain,34,125.893,121.373,180.003,1.0,0.0,0.0,langsmith
LangGraph,chain,29,15.885,6.647,57.28,0.0,28835.8,0.008817,langsmith
route_by_category,chain,25,0.001,0.001,0.001,0.0,0.0,0.0,langsmith
PydanticToolsParser,parser,25,0.001,0.001,0.002,0.0,0.0,0.0,langsmith
RunnableSequence,chain,25,8.293,1.926,17.264,0.0,933.9,0.00038,langsmith
analyzer,chain,25,8.298,1.928,17.265,0.0,933.9,0.00038,langsmith
legal_fallback_router,chain,20,0.004,0.003,0.007,0.0,0.0,0.0,langsmith
legal_rag,chain,20,10.853,4.582,55.025,0.0,39749.3,0.010202,langsmith
out_of_scope,chain,4,0.0,0.0,0.0,0.0,0.0,0.0,langsmith
web_finalize,chain,4,0.01,0.003,0.003,0.0,0.0,0.0,langsmith
web_search,chain,4,8.52,9.109,9.109,0.0,4440.2,0.001701,langsmith
chit_chat,chain,1,1.601,1.601,1.601,0.0,144.0,9e-05,langsmith
