user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
Vượt đèn đỏ đi xe máy phạt bao nhiêu tiền?,[''],"1. Phạt tiền từ 4.000.000 đồng đến 6.000.000 đồng đối với người điều khiển xe mô tô, xe gắn máy, các loại xe tương tự xe mô tô và các loại xe tương tự xe gắn máy có hành vi không chấp hành hiệu lệnh của đèn tín hiệu giao thông [Điều 7, Khoản 7, Điểm c — NĐ 168/2024/NĐ-CP]

2. Ngoài việc bị phạt tiền, người điều khiển xe thực hiện hành vi này còn bị trừ 04 điểm giấy phép lái xe [Điều 7, Khoản 13, Điểm b — NĐ 168/2024/NĐ-CP]","Người điều khiển xe mô tô, xe gắn máy vượt đèn đỏ (không chấp hành hiệu lệnh của đèn tín hiệu giao thông) bị phạt tiền từ 800.000 đồng đến 1.000.000 đồng và bị trừ 2 điểm giấy phép lái xe.",,,,
Nồng độ cồn mức 1 đối với ô tô phạt bao nhiêu?,[''],"1. Phạt tiền từ 18.000.000 đồng đến 20.000.000 đồng đối với người điều khiển xe ô tô trên đường mà trong máu hoặc hơi thở có nồng độ cồn vượt quá 50 miligam đến 80 miligam/100 mililít máu hoặc vượt quá 0,25 miligam đến 0,4 miligam/1 lít khí thở [Điều 6, Khoản 9, Điểm a — NĐ 168/2024/NĐ-CP]

2. Ngoài việc bị phạt tiền, người điều khiển xe ô tô thực hiện hành vi vi phạm nêu trên còn bị trừ 10 điểm giấy phép lái xe [Điều 6, Khoản 16, Điểm d — NĐ 168/2024/NĐ-CP]","Điều khiển xe ô tô trên đường mà trong máu hoặc hơi thở có nồng độ cồn nhưng chưa vượt quá 50 miligam/100 mililít máu hoặc chưa vượt quá 0,25 miligam/1 lít khí thở bị phạt tiền từ 6.000.000 đồng đến 8.000.000 đồng và bị trừ 10 điểm giấy phép lái xe.",,,,
Không đội mũ bảo hiểm bị phạt bao nhiêu?,[''],"1. Phạt tiền từ 400.000 đồng đến 600.000 đồng đối với người điều khiển xe mô tô, xe gắn máy, các loại xe tương tự xe mô tô và các loại xe tương tự xe gắn máy không đội “mũ bảo hiểm cho người đi mô tô, xe máy” hoặc đội “mũ bảo hiểm cho người đi mô tô, xe máy” không cài quai đúng quy cách khi điều khiển xe tham gia giao thông trên đường bộ [Điều 7, Khoản 2, Điểm h — NĐ 168/2024/NĐ-CP].","Người điều khiển xe mô tô, xe gắn máy không đội 'mũ bảo hiểm cho người đi mô tô, xe máy' hoặc cài quai mũ không đúng quy cách bị phạt tiền từ 400.000 đồng đến 600.000 đồng.",,,,
Đi xe máy vào đường cao tốc phạt bao nhiêu?,[''],"1. Phạt tiền từ 4.000.000 đồng đến 6.000.000 đồng đối với người điều khiển xe mô tô, xe gắn máy, các loại xe tương tự xe mô tô và các loại xe tương tự xe gắn máy đi vào đường cao tốc, trừ xe phục vụ việc quản lý, bảo trì đường cao tốc [Điều 7, Khoản 7, Điểm b — NĐ 168/2024/NĐ-CP]

2. Ngoài việc bị phạt tiền, người điều khiển xe thực hiện hành vi này còn bị trừ 04 điểm giấy phép lái xe [Điều 7, Khoản 13, Điểm b — NĐ 168/2024/NĐ-CP]","Người điều khiển xe mô tô, xe gắn máy đi vào đường cao tốc (trừ xe phục vụ quản lý, bảo trì đường cao tốc) bị phạt tiền từ 2.000.000 đồng đến 3.000.000 đồng và bị trừ 4 điểm giấy phép lái xe.",,,,
Bấm còi trong đô thị từ 22 giờ đến 5 giờ sáng bị phạt thế nào?,[''],"1. Đối với người điều khiển xe mô tô, xe gắn máy và các loại xe tương tự: Phạt tiền từ 400.000 đồng đến 600.000 đồng [Điều 7, Khoản 2 — NĐ 168/2024/NĐ-CP] [Điều 7, Khoản 1, Điểm i — NĐ 168/2024/NĐ-CP].

2. Đối với người điều khiển xe ô tô và các loại xe tương tự: Phạt tiền từ 400.000 đồng đến 600.000 đồng [Điều 6, Khoản 1, Điểm đ — NĐ 168/2024/NĐ-CP].

Thông tin về số điểm trừ giấy phép lái xe đối với hành vi này không có trong tài liệu được cung cấp.","Bấm còi trong đô thị và khu đông dân cư trong thời gian từ 22 giờ ngày hôm trước đến 05 giờ ngày hôm sau (trừ xe ưu tiên) bị phạt tiền từ 400.000 đồng đến 600.000 đồng đối với ô tô, và 100.000 đồng đến 200.000 đồng đối với xe máy.",,,,
Vượt đèn đỏ và không mang bằng lái xe máy thì bị phạt tổng cộng bao nhiêu?,[''],"⚠️ Lưu ý: Thông tin tra cứu từ Internet mở, hãy cẩn trọng.

Khi bạn thực hiện hành vi vượt đèn đỏ và không mang theo Giấy phép lái xe (GPLX) khi điều khiển xe máy, bạn sẽ bị xử phạt cho cả hai lỗi này theo Nghị định 100/2019/NĐ-CP (sửa đổi bởi Nghị định 123/2021/NĐ-CP):

1. **Lỗi vượt đèn đỏ (không chấp hành hiệu lệnh đèn tín hiệu):**
   - Phạt tiền từ **800.000 đồng đến 1.000.000 đồng**.
   - Hình thức phạt bổ sung: Tước quyền sử dụng GPLX từ 01 đến 03 tháng.

2. **Lỗi không mang theo Giấy phép lái xe:**
   - Phạt tiền từ **100.000 đồng đến 200.000 đồng**.

**Tổng mức phạt:**
- **Về tiền:** Bạn sẽ bị phạt tổng cộng từ **900.000 đồng đến 1.200.000 đồng**.
- **Về hình thức bổ sung:** Bạn vẫn sẽ bị áp dụng hình thức tước quyền sử dụng GPLX từ 01 đến 03 tháng đối với lỗi vượt đèn đỏ.

*Lưu ý:* Nếu bạn không có GPLX (chứ không phải là quên mang), mức phạt sẽ cao hơn nhiều so với lỗi ""không mang theo"".

Nguồn:
[1] https://vietnamnet.vn/muc-phat-loi-vuot-den-do-den-vang-voi-o-to-xe-may-moi-nhat-2272172.html
[5] https://luatvietnam.vn/hanh-chinh/vuot-den-do-ma-khong-bi-phat-570-21544-article.html",Hành vi vượt đèn đỏ bị phạt từ 800.000 - 1.000.000 đồng (trừ 2 điểm GPLX). Hành vi không mang theo Giấy phép lái xe bị phạt từ 100.000 - 200.000 đồng. Tổng cộng mức phạt dao động từ 900.000 đồng đến 1.200.000 đồng.,,,,
Xe máy chở 3 người và không đội mũ bảo hiểm bị phạt thế nào?,[''],"1. Phạt tiền từ 400.000 đồng đến 600.000 đồng đối với hành vi chở theo 02 người trên xe (trừ trường hợp chở người bệnh đi cấp cứu, trẻ em dưới 12 tuổi, người già yếu hoặc người khuyết tật, áp giải người có hành vi vi phạm pháp luật) [Điều 7, Khoản 2, Điểm g — NĐ 168/2024/NĐ-CP].

2. Phạt tiền từ 400.000 đồng đến 600.000 đồng đối với hành vi không đội “mũ bảo hiểm cho người đi mô tô, xe máy” hoặc đội “mũ bảo hiểm cho người đi mô tô, xe máy” không cài quai đúng quy cách khi điều khiển xe tham gia giao thông trên đường bộ [Điều 7, Khoản 2, Điểm h — NĐ 168/2024/NĐ-CP].

Thông tin về số điểm bị trừ đối với các hành vi này không có trong tài liệu được cung cấp.","Chở theo 02 người trên xe (tổng 3 người) bị phạt từ 300.000 - 400.000 đồng. Không đội mũ bảo hiểm bị phạt từ 400.000 - 600.000 đồng. Nếu cả người điều khiển và người ngồi sau đều không đội mũ, mức phạt sẽ tăng tương ứng.",,,,
Hạng B1 và B2 theo luật mới 2024 thay đổi như thế nào?,[''],"Theo Luật Trật tự, an toàn giao thông đường bộ 2024, các thay đổi liên quan đến giấy phép lái xe (GPLX) hạng B1 và B2 được quy định như sau:

1. Giấy phép lái xe hạng B1 được đổi, cấp lại sang giấy phép lái xe hạng B [Điều 89, Khoản 3, Điểm e — Luật Trật tự ATGT đường bộ 2024].

2. Giấy phép lái xe hạng B1 số tự động được đổi, cấp lại sang giấy phép lái xe hạng B với điều kiện hạn chế là chỉ được điều khiển xe ô tô số tự động [Điều 89, Khoản 3, Điểm đ — Luật Trật tự ATGT đường bộ 2024].

3. Giấy phép lái xe hạng B2 được đổi, cấp lại sang giấy phép lái xe hạng B hoặc hạng C1 [Điều 89, Khoản 3, Điểm e — Luật Trật tự ATGT đường bộ 2024].

4. Giấy phép lái xe hạng B1 cấp cho người lái xe mô tô ba bánh và các loại xe quy định cho giấy phép lái xe hạng A1 [Điều 57, Khoản 1, Điểm c — Luật Trật tự ATGT đường bộ 2024].

5. Giấy phép lái xe hạng B1 không có thời hạn [Điều 57, Khoản 5, Điểm a — Luật Trật tự ATGT đường bộ 2024].

6. Người khuyết tật điều khiển xe ô tô số tự động có kết cấu phù hợp với tình trạng khuyết tật thì được cấp giấy phép lái xe hạng B [Điều 57, Khoản 2 — Luật Trật tự ATGT đường bộ 2024].

7. Người có giấy phép lái xe hạng B1 số tự động cấp cho người không hành nghề lái xe được tiếp tục điều khiển xe ô tô số tự động chở người đến 08 chỗ (không kể chỗ của người lái xe); xe ô tô tải, kể cả ô tô tải chuyên dùng số tự động có trọng tải dưới 3.500 kg [Điều 89, Khoản 2, Điểm d — Luật Trật tự ATGT đường bộ 2024].

8. Giấy phép lái xe hạng B1 cấp cho người không hành nghề lái xe được tiếp tục điều khiển xe ô tô chở người đến 08 chỗ (không kể chỗ của người lái xe); xe ô tô tải, máy kéo có trọng tải dưới 3.500 kg [Điều 89, Khoản 2, Điểm e — Luật Trật tự ATGT đường bộ 2024].

9. Giấy phép lái xe hạng B2 cấp cho người hành nghề lái xe được tiếp tục điều khiển xe ô tô chở người đến 08 chỗ (không kể chỗ của người lái xe); xe ô tô tải, máy kéo có trọng tải dưới 3.500 kg [Điều 89, Khoản 2, Điểm g — Luật Trật tự ATGT đường bộ 2024].","Theo Luật Trật tự, an toàn giao thông đường bộ 2024, các hạng Giấy phép lái xe cũ như B1, B2 sẽ được quy định lại. Cụ thể hạng B1, B2 sẽ được gộp/chuyển đổi thành hạng B (cấp cho người điều khiển xe ô tô chở người đến 08 chỗ; xe ô tô tải có khối lượng toàn bộ đến 3.500 kg).",,,,
Độ tuổi lái xe máy 50cc và trên 125cc quy định thế nào?,[''],"1. Người đủ 16 tuổi trở lên được điều khiển xe gắn máy (xe có dung tích xi lanh dưới 50cc) [Điều 59, Khoản 1, Điểm a — Luật Trật tự ATGT đường bộ 2024 (36/2024/QH15)]

2. Người đủ 18 tuổi trở lên được cấp giấy phép lái xe hạng A để điều khiển xe mô tô hai bánh có dung tích xi lanh trên 125 cm3 hoặc có công suất động cơ điện trên 11 kW [Điều 57, Khoản 1, Điểm b — Luật Trật tự ATGT đường bộ 2024 (36/2024/QH15)] [Điều 59, Khoản 1, Điểm b — Luật Trật tự ATGT đường bộ 2024 (36/2024/QH15)]",Người đủ 16 tuổi trở lên được lái xe gắn máy có dung tích xi-lanh dưới 50 cm3. Người đủ 18 tuổi trở lên được cấp GPLX hạng A1 (lái xe đến 125 cm3) hoặc hạng A (lái xe trên 125 cm3).,,,,
Khi nào bị tịch thu xe và khi nào chỉ bị tạm giữ xe?,[''],"Dưới đây là các trường hợp bị áp dụng hình thức xử phạt tịch thu phương tiện và biện pháp ngăn chặn tạm giữ phương tiện giao thông:

**1. Các trường hợp bị áp dụng hình thức xử phạt tịch thu phương tiện:**

*   Sản xuất, lắp ráp trái phép phương tiện giao thông cơ giới đường bộ [Điều 31, Khoản 2, Khoản 3 — NĐ 168/2024/NĐ-CP].
*   Sản xuất, mua, bán biển số xe trái phép (tịch thu biển số, phương tiện sản xuất, lắp ráp trái phép) [Điều 31, Khoản 1, Khoản 2, Khoản 3 — NĐ 168/2024/NĐ-CP].
*   Điều khiển xe máy chuyên dùng sản xuất, lắp ráp hoặc cải tạo trái quy định tham gia giao thông [Điều 16, Khoản 3 — NĐ 168/2024/NĐ-CP].
*   Điều khiển xe máy chuyên dùng không có chứng nhận đăng ký xe hoặc sử dụng chứng nhận đăng ký xe không do cơ quan có thẩm quyền cấp, không đúng số khung, số máy hoặc bị tẩy xóa mà không chứng minh được nguồn gốc xuất xứ hợp pháp [Điều 16, Khoản 4, Điểm b — NĐ 168/2024/NĐ-CP].
*   Tịch thu phương tiện được sử dụng để vi phạm hành chính trong trường hợp không áp dụng là hình thức xử phạt chính [Điều 3, Khoản 2, Điểm c — NĐ 168/2024/NĐ-CP].

**2. Các trường hợp bị áp dụng biện pháp ngăn chặn tạm giữ phương tiện giao thông:**

*   Để ngăn chặn ngay hành vi vi phạm hành chính, người có thẩm quyền được phép tạm giữ phương tiện trước khi ra quyết định xử phạt đối với các hành vi vi phạm được quy định tại Nghị định 168/2024/NĐ-CP [Điều 48, Khoản 1 — NĐ 168/2024/NĐ-CP].
*   Các hành vi vi phạm khác thuộc trường hợp thật cần thiết cần phải ngăn chặn ngay hành vi vi phạm hành chính mà nếu không tạm giữ thì sẽ gây hậu quả nghiêm trọng cho xã hội [Điều 48, Khoản 1, Điểm o — NĐ 168/2024/NĐ-CP].
*   Để bảo đảm thi hành quyết định xử phạt vi phạm hành chính hoặc để xác minh tình tiết làm căn cứ ra quyết định xử phạt [Điều 48, Khoản 2 — NĐ 168/2024/NĐ-CP].
*   Trường hợp người điều khiển phương tiện không xuất trình được một, một số hoặc tất cả các giấy tờ (giấy phép lái xe, chứng nhận đăng ký xe, giấy chứng nhận kiểm định) theo quy định [Điều 48, Khoản 3 — NĐ 168/2024/NĐ-CP].
*   Trường hợp người điều khiển phương tiện không có giấy tờ (tương ứng với những loại giấy tờ không xuất trình được), người có thẩm quyền lập biên bản vi phạm hành chính đối với người điều khiển và chủ phương tiện, đồng thời tạm giữ phương tiện [Điều 48, Khoản 3, Điểm a — NĐ 168/2024/NĐ-CP].
*   Trường hợp người vi phạm không có mặt tại nơi xảy ra vi phạm hoặc cố tình trốn tránh, gây cản trở, không chấp hành thì cơ quan chức năng sử dụng các biện pháp đưa tang vật, phương tiện về nơi tạm giữ [Điều 17, Khoản 2, Điểm c — Thông tư 73/2024/TT-BCA].","Tạm giữ phương tiện được áp dụng để ngăn chặn vi phạm hoặc bảo đảm thi hành quyết định xử phạt (theo Điều 125 Luật xử lý VPHC). Tịch thu phương tiện được áp dụng đối với các vi phạm nghiêm trọng quy định cụ thể tại Nghị định 168 (như đua xe trái phép, sử dụng xe giả danh...).",,,,
