chunker,qid,category,latency_s,f1_token,rouge_l,cit_p_khoan,cit_r_khoan,cit_f1_khoan,cit_p_doc,cit_r_doc,cit_f1_doc,refusal,pred_answer
hierarchical,RQ-001,simple_penalty,3.4724143799976446,0.07272727272727272,0.0328133405056482,0.0,0.0,0.0,0.0,0.0,0.0,True,Thông tin này không có trong tài liệu được cung cấp.
hierarchical,RQ-002,simple_penalty,2.4067856589972507,0.7972027972027973,0.5632102272727272,0.03125,1.0,0.06060606060606061,1.0,1.0,1.0,False,"Phạt tiền từ 6.000.000 đồng đến 8.000.000 đồng và bị trừ 06 điểm giấy phép lái xe đối với hành vi điều khiển xe ô tô trên đường mà trong máu hoặc hơi thở có nồng độ cồn nhưng chưa vượt quá 50 miligam/100 mililít máu hoặc chưa vượt quá 0,25 miligam/1 lít khí thở [Điều 6, Khoản 6, Điểm c — NĐ 168/2024/NĐ-CP] [Điều 6, Khoản 16, Điểm c — NĐ 168/2024/NĐ-CP]."
hierarchical,RQ-003,simple_penalty,4.220285741001135,0.19656019656019655,0.22986340084785678,0.029411764705882353,1.0,0.05714285714285715,1.0,1.0,1.0,False,"1. Đối với người điều khiển xe mô tô, xe gắn máy, các loại xe tương tự xe mô tô và các loại xe tương tự xe gắn máy: Không đội “mũ bảo hiểm cho người đi mô tô, xe máy” hoặc đội “mũ bảo hiểm cho người đi mô tô, xe máy” không cài quai đúng quy cách khi điều khiển xe tham gia giao thông trên đường bộ [Điều 7, Khoản 2, Điểm h — NĐ 168/2024/NĐ-CP].

2. Đối với người được chở trên xe mô tô, xe gắn máy, các loại xe tương tự xe mô tô, các loại xe tương tự xe gắn máy: Không đội “mũ bảo hiểm cho người đi m"
hierarchical,RQ-004,simple_penalty,4.616317043008166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Thông tin này không có trong tài liệu được cung cấp.
hierarchical,RQ-005,simple_penalty,3.0060004709957866,0.3493975903614458,0.29437683592110786,0.09090909090909091,1.0,0.16666666666666669,1.0,1.0,1.0,True,"1. Đối với người điều khiển xe ô tô và các loại xe tương tự xe ô tô: Phạt tiền từ 400.000 đồng đến 600.000 đồng [Điều 6, Khoản 1, Điểm đ — NĐ 168/2024/NĐ-CP].

2. Đối với người điều khiển xe mô tô, xe gắn máy và các loại xe tương tự: Phạt tiền từ 400.000 đồng đến 600.000 đồng [Điều 7, Khoản 1, Điểm i — NĐ 168/2024/NĐ-CP] [Điều 7, Khoản 2 — NĐ 168/2024/NĐ-CP].

Thông tin về số điểm trừ giấy phép lái xe đối với hành vi này không có trong tài liệu được cung cấp."
hierarchical,RQ-006,multi_intent,2.6471683779964224,0.032786885245901634,0.029397590361445784,0.0,0.0,0.0,0.0,0.0,0.0,True,Thông tin này không có trong tài liệu được cung cấp.
hierarchical,RQ-007,multi_intent,3.8439316709991544,0.26666666666666666,0.21174428695400638,0.10526315789473684,1.0,0.1904761904761905,1.0,1.0,1.0,True,"1. Phạt tiền từ 200.000 đồng đến 400.000 đồng đối với người điều khiển xe mô tô, xe gắn máy chở người ngồi trên xe không đội “mũ bảo hiểm cho người đi mô tô, xe máy” hoặc đội “mũ bảo hiểm cho người đi mô tô, xe máy” không cài quai đúng quy cách, trừ trường hợp chở người bệnh đi cấp cứu, trẻ em dưới 06 tuổi, áp giải người có hành vi vi phạm pháp luật [Điều 7, Khoản 2, Điểm i — NĐ 168/2024/NĐ-CP].

2. Phạt tiền từ 400.000 đồng đến 600.000 đồng đối với người được chở trên xe mô tô, xe gắn máy không"
hierarchical,RQ-008,multi_intent,2.6413745379977627,0.27083333333333337,0.2312065698041693,0.0,0.0,0.0,0.0,0.0,0.0,False,"1. Giấy phép lái xe hạng B1 được đổi, cấp lại sang giấy phép lái xe hạng B với điều kiện hạn chế là chỉ được điều khiển xe ô tô số tự động [Điều 89, Khoản 3, Điểm đ — Luật Trật tự ATGT đường bộ 2024].

2. Giấy phép lái xe hạng B1 (cấp cho người không hành nghề lái xe) được đổi, cấp lại sang giấy phép lái xe hạng B hoặc hạng C1 và chứng chỉ điều khiển xe máy chuyên dùng cho người điều khiển máy kéo có trọng tải đến 3.500 kg [Điều 89, Khoản 3, Điểm e — Luật Trật tự ATGT đường bộ 2024].

3. Giấy ph"
hierarchical,RQ-009,multi_intent,2.4256570150027983,0.3380281690140845,0.31562607795791653,0.0,0.0,0.0,0.0,0.0,0.0,False,"1. Người đủ 16 tuổi trở lên được điều khiển xe gắn máy [Điều 59, Khoản 1, Điểm a — Luật Trật tự ATGT đường bộ 2024 (Nguồn 1)].

2. Người đủ 18 tuổi trở lên được cấp giấy phép lái xe hạng A1 để điều khiển xe mô tô hai bánh có dung tích xi-lanh đến 125 cm hoặc có công suất động cơ điện đến 11 kW [Điều 59, Khoản 1, Điểm b — Luật Trật tự ATGT đường bộ 2024 (Nguồn 1)] [Điều 57, Khoản 1, Điểm a — Luật Trật tự ATGT đường bộ 2024 (Nguồn 4)].

3. Người đủ 18 tuổi trở lên được cấp giấy phép lái xe hạng A "
hierarchical,RQ-010,multi_intent,4.322515343010309,0.13551401869158877,0.1181338028169014,0.0,0.0,0.0,1.0,1.0,1.0,True,"Dựa trên các tài liệu được cung cấp, các trường hợp liên quan đến việc tịch thu phương tiện được quy định như sau:

1. Tịch thu phương tiện đối với người điều khiển xe mô tô, xe gắn máy (và các loại xe tương tự) khi không có chứng nhận đăng ký xe hoặc sử dụng chứng nhận đăng ký xe không do cơ quan có thẩm quyền cấp, không đúng số khung, số máy của xe hoặc bị tẩy xóa mà không chứng minh được nguồn gốc xuất xứ của phương tiện [Điều 14, Khoản 5, Điểm b — NĐ 168/2024/NĐ-CP].

2. Tịch thu phương tiện"
