id,pipeline,faithfulness,answer_relevancy,context_precision,context_recall,n_contexts
RQ-001,vanilla_rag,0.0,nan,0.0,nan,59
RQ-002,vanilla_rag,nan,nan,0.0,nan,60
RQ-003,vanilla_rag,nan,nan,0.0,nan,75
RQ-004,vanilla_rag,nan,nan,0.0,nan,89
RQ-005,vanilla_rag,nan,nan,0.0,nan,74
RQ-006,vanilla_rag,nan,nan,0.0,nan,80
RQ-007,vanilla_rag,nan,nan,0.0,nan,44
RQ-008,vanilla_rag,nan,nan,0.0,nan,47
RQ-009,vanilla_rag,nan,nan,0.0,nan,37
RQ-010,vanilla_rag,nan,nan,0.0,nan,43
RQ-011,vanilla_rag,nan,nan,0.0,nan,73
RQ-012,vanilla_rag,nan,nan,0.0,nan,64
RQ-013,vanilla_rag,nan,nan,0.0,nan,50
RQ-014,vanilla_rag,nan,nan,0.0,nan,51
RQ-015,vanilla_rag,nan,nan,0.0,nan,15
RQ-016,vanilla_rag,nan,nan,0.0,nan,76
RQ-017,vanilla_rag,nan,nan,0.0,nan,27
RQ-018,vanilla_rag,nan,nan,0.0,nan,38
RQ-019,vanilla_rag,nan,nan,0.0,nan,44
RQ-020,vanilla_rag,nan,nan,0.0,nan,46
RQ-021,vanilla_rag,nan,nan,0.0,nan,69
RQ-022,vanilla_rag,nan,nan,0.0,nan,67
RQ-023,vanilla_rag,nan,nan,0.0,nan,22
RQ-024,vanilla_rag,nan,nan,0.0,nan,48
RQ-025,vanilla_rag,nan,nan,0.0,nan,72
