id,category,n_gold,n_retrieved,recall@1,recall@3,recall@5,recall@10,recall@20,mrr,ndcg@10,error
RQ-001,simple_penalty,1,86,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,
RQ-002,simple_penalty,1,125,0.0,0.0,0.0,1.0,1.0,0.1,0.2890648263178879,
RQ-003,simple_penalty,1,100,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,
RQ-004,simple_penalty,1,114,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,
RQ-005,simple_penalty,2,119,0.5,0.5,0.5,0.5,1.0,1.0,0.8503449055347546,
RQ-006,multi_intent,2,121,0.0,0.0,0.0,0.0,0.0,0.010309278350515464,0.0,
RQ-007,multi_intent,2,122,0.5,0.5,0.5,0.5,0.5,1.0,0.8503449055347546,
RQ-008,multi_intent,2,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
RQ-009,multi_intent,1,88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
RQ-010,multi_intent,2,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
RQ-011,cross_reference,1,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
RQ-012,cross_reference,1,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
RQ-013,cross_reference,1,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
RQ-014,cross_reference,1,134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
RQ-015,cross_reference,1,37,0.0,0.0,0.0,1.0,1.0,0.1,0.2890648263178879,
RQ-016,procedure,1,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
RQ-017,procedure,1,61,0.0,0.0,0.0,1.0,1.0,0.16666666666666666,0.3562071871080222,
RQ-018,procedure,2,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
RQ-019,procedure,1,95,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,
RQ-020,procedure,1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
RQ-021,out_of_scope,0,163,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
RQ-022,out_of_scope,0,119,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
RQ-023,out_of_scope,0,63,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
RQ-024,out_of_scope,0,67,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
RQ-025,out_of_scope,0,115,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
