model,qid,category,recall@5,recall@10,recall@20,mrr,ndcg@10
vietnamese-sbert,RQ-001,simple_penalty,0.0,0.0,0.0,0.0,0.0
vietnamese-sbert,RQ-002,simple_penalty,0.0,0.0,0.0,0.0,0.0
vietnamese-sbert,RQ-003,simple_penalty,0.0,0.0,0.0,0.0,0.0
vietnamese-sbert,RQ-004,simple_penalty,0.0,0.0,0.0,0.0,0.0
vietnamese-sbert,RQ-005,simple_penalty,0.5,0.5,0.5,1.0,0.8503449055347546
vietnamese-sbert,RQ-006,multi_intent,0.0,0.0,0.0,0.0,0.0
vietnamese-sbert,RQ-007,multi_intent,0.5,0.5,0.5,0.3333333333333333,0.3065735963827292
vietnamese-sbert,RQ-008,multi_intent,0.0,0.0,0.0,0.0,0.0
vietnamese-sbert,RQ-009,multi_intent,1.0,1.0,1.0,0.3333333333333333,0.5
vietnamese-sbert,RQ-010,multi_intent,0.0,0.0,0.0,0.0,0.0
vietnamese-sbert,RQ-011,cross_reference,0.0,0.0,0.0,0.0,0.0
vietnamese-sbert,RQ-012,cross_reference,0.0,0.0,0.0,0.0,0.0
vietnamese-sbert,RQ-013,cross_reference,0.0,0.0,0.0,0.0,0.0
vietnamese-sbert,RQ-014,cross_reference,0.0,0.0,0.0,0.0,0.0
vietnamese-sbert,RQ-015,cross_reference,0.0,0.0,0.0,0.0,0.0
vietnamese-sbert,RQ-016,procedure,0.0,0.0,0.0,0.0,0.0
vietnamese-sbert,RQ-017,procedure,0.0,0.0,0.0,0.0,0.0
vietnamese-sbert,RQ-018,procedure,0.0,0.0,0.0,0.0,0.0
vietnamese-sbert,RQ-019,procedure,0.0,1.0,1.0,0.14285714285714285,0.3333333333333333
vietnamese-sbert,RQ-020,procedure,0.0,0.0,0.0,0.0,0.0
vietnamese-sbert,RQ-021,out_of_scope,1.0,1.0,1.0,0.0,0.0
vietnamese-sbert,RQ-022,out_of_scope,1.0,1.0,1.0,0.0,0.0
vietnamese-sbert,RQ-023,out_of_scope,1.0,1.0,1.0,0.0,0.0
vietnamese-sbert,RQ-024,out_of_scope,1.0,1.0,1.0,0.0,0.0
vietnamese-sbert,RQ-025,out_of_scope,1.0,1.0,1.0,0.0,0.0
multilingual-mpnet,RQ-001,simple_penalty,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-002,simple_penalty,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-003,simple_penalty,0.0,0.0,1.0,0.0625,0.0
multilingual-mpnet,RQ-004,simple_penalty,0.0,0.0,1.0,0.07692307692307693,0.0
multilingual-mpnet,RQ-005,simple_penalty,0.5,0.5,0.5,0.5,0.5912352048230277
multilingual-mpnet,RQ-006,multi_intent,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-007,multi_intent,0.5,1.0,1.0,1.0,1.3341577887015315
multilingual-mpnet,RQ-008,multi_intent,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-009,multi_intent,0.0,0.0,1.0,0.058823529411764705,0.0
multilingual-mpnet,RQ-010,multi_intent,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-011,cross_reference,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-012,cross_reference,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-013,cross_reference,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-014,cross_reference,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-015,cross_reference,1.0,1.0,1.0,1.0,1.0
multilingual-mpnet,RQ-016,procedure,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-017,procedure,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-018,procedure,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-019,procedure,1.0,1.0,1.0,1.0,1.0
multilingual-mpnet,RQ-020,procedure,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-021,out_of_scope,1.0,1.0,1.0,0.0,0.0
multilingual-mpnet,RQ-022,out_of_scope,1.0,1.0,1.0,0.0,0.0
multilingual-mpnet,RQ-023,out_of_scope,1.0,1.0,1.0,0.0,0.0
multilingual-mpnet,RQ-024,out_of_scope,1.0,1.0,1.0,0.0,0.0
multilingual-mpnet,RQ-025,out_of_scope,1.0,1.0,1.0,0.0,0.0
multilingual-e5-small,RQ-001,simple_penalty,0.0,1.0,1.0,0.1111111111111111,0.3010299956639812
multilingual-e5-small,RQ-002,simple_penalty,0.0,0.0,1.0,0.06666666666666667,0.0
multilingual-e5-small,RQ-003,simple_penalty,0.0,0.0,0.0,0.0,0.0
